8.000000000000000444e-01,1.000000000000000000e+00
1.800000000000000044e+00,2.000000000000000000e+00
2.799999999999999822e+00,1.000000000000000000e+00
3.799999999999999822e+00,2.000000000000000000e+00
4.799999999999999822e+00,1.000000000000000000e+00
5.799999999999999822e+00,2.000000000000000000e+00
6.799999999999999822e+00,1.000000000000000000e+00
7.799999999999999822e+00,2.000000000000000000e+00
8.800000000000000711e+00,1.000000000000000000e+00
9.800000000000000711e+00,2.000000000000000000e+00
1.080000000000000071e+01,1.000000000000000000e+00
1.180000000000000071e+01,2.000000000000000000e+00
1.280000000000000071e+01,1.000000000000000000e+00
1.380000000000000071e+01,2.000000000000000000e+00
1.480000000000000071e+01,1.000000000000000000e+00
1.580000000000000071e+01,2.000000000000000000e+00
1.680000000000000071e+01,1.000000000000000000e+00
1.780000000000000071e+01,2.000000000000000000e+00
1.880000000000000071e+01,1.000000000000000000e+00
1.980000000000000071e+01,2.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
